,from_roman,to_roman
98,IV,♭III
99,♭III,IV
100,IV,♭III
101,♭III,IV
102,IV,V
103,V,I
104,I,♭VII
105,♭VII,I
106,I,♭VII
107,♭VII,I
108,I,♭VII
109,♭VII,I
110,I,I
111,I,♭VII
112,♭VII,I
113,I,♭VII
114,♭VII,I
115,I,♭VII
116,♭VII,I
117,I,♭VII
118,♭VII,I
119,I,♭VII
120,♭VII,I
121,I,♭VII
122,♭VII,I
123,I,♭VII
124,♭VII,I
125,I,♭VII
126,♭VII,♭VII
127,♭VII,I
128,I,♭VII
129,♭VII,I
130,I,♭VII
131,♭VII,I
132,I,♭VII
133,♭VII,I
134,I,♭VII
135,♭VII,I
136,I,♭VII
137,♭VII,I
138,I,♭VII
139,♭VII,♭VII
140,♭VII,I
141,I,♭VII
142,♭VII,I
143,I,♭VII
144,♭VII,I
145,I,♭VII
146,♭VII,I
147,I,♭VII
148,♭VII,I
149,I,♭VII
150,♭VII,I
151,I,♭VII
152,♭VII,I
153,I,♭VII
154,♭VII,I
155,I,♭VII
156,♭VII,I
157,I,♭VII
158,♭VII,I
159,I,♭VII
160,♭VII,I
161,I,♭VII
162,♭VII,I
163,I,I
164,I,♭VII
165,♭VII,I
166,I,♭VII
167,♭VII,I
168,I,♭VII
169,♭VII,I
170,I,♭VII
171,♭VII,I
172,I,♭VII
173,♭VII,I
174,I,♭VII
175,♭VII,I
176,I,♭VII
177,♭VII,I
178,I,♭VII
179,♭VII,I
180,I,♭VII
181,♭VII,♭VII
182,♭VII,I
183,I,♭VII
184,♭VII,I
185,I,♭VII
186,♭VII,I
187,I,♭VII
188,♭VII,I
189,I,♭VII
190,♭VII,I
191,I,♭VII
192,♭VII,I
193,I,♭VII
0,I,♯iii
1,♯iii,v6
2,v6,♯VI7
3,♯VI7,ii
4,ii,IV
5,IV,V7
6,V7,III
7,III,♯VII+
8,♯VII+,i
9,i,III7
10,III7,VI
11,VI,♯III+
12,♯III+,iv
13,iv,VI7
14,VI7,VII
15,VII,ii7
16,ii7,♭II+
17,♭II+,v7
18,v7,vii7
19,vii7,I
20,I,♯iii
21,♯iii,v6
22,v6,♯VI7
23,♯VI7,ii
24,ii,IV
25,IV,V7
26,V7,I
27,I,I
28,I,♯iii
29,♯iii,v6
30,v6,♯VI7
31,♯VI7,ii
32,ii,IV
33,IV,V7
34,V7,III
35,III,♯VII+
36,♯VII+,i
37,i,III7
38,III7,VI
39,VI,♯III+
40,♯III+,iv
41,iv,VI7
42,VI7,IV
43,IV,VII
44,VII,ii7
45,ii7,♭II+
46,♭II+,I
47,I,i
48,i,v7
49,v7,vii7
50,vii7,IV
51,IV,VII
52,VII,ii
53,ii,♭II+
54,♭II+,I
55,I,i
56,i,v7
57,v7,vii7
58,vii7,ii7
59,ii7,♭II+
60,♭II+,IV
61,IV,V6
62,V6,I
63,I,♭ii°
64,♭ii°,ii
65,ii,♯vi°
66,♯vi°,♯iii
67,♯iii,IV
68,IV,iv
69,iv,I
70,I,♯iii
71,♯iii,v6
72,v6,♯VI7
73,♯VI7,ii
74,ii,IV
75,IV,V7
76,V7,I
77,I,I
78,I,♯iii
79,♯iii,v6
80,v6,♯VI7
81,♯VI7,ii
82,ii,IV
83,IV,V7
84,V7,III
85,III,♯VII+
86,♯VII+,i
87,i,III7
88,III7,VI
89,VI,♯III+
90,♯III+,iv
91,iv,VI7
92,VI7,IV
93,IV,VII
94,VII,ii7
95,ii7,♭II+
96,♭II+,I
97,I,i
98,i,v7
99,v7,vii7
100,vii7,IV
101,IV,VII
102,VII,ii
103,ii,♭II+
104,♭II+,I
105,I,i
106,i,v7
107,v7,vii7
108,vii7,ii7
109,ii7,♭II+
110,♭II+,IV
111,IV,V6
0,I,V6
1,V6,vi7
2,vi7,V
3,V,IV
4,IV,iv
5,iv,I
6,I,I
7,I,V6
8,V6,vi7
9,vi7,V
10,V,IV
11,IV,iv
12,iv,I
13,I,I
14,I,vi
15,vi,iii
16,iii,IV
17,IV,I
18,I,I
19,I,vi
20,vi,iii
21,iii,IV
22,IV,V
23,V,I
24,I,V6
25,V6,vi7
26,vi7,V
27,V,IV
28,IV,iv
29,iv,I
30,I,I
31,I,V6
32,V6,vi7
33,vi7,V
34,V,IV
35,IV,iv
36,iv,I
37,I,I
38,I,V6
39,V6,vi7
40,vi7,V
