,from_roman,to_roman
145,V,IV
146,IV,I
147,I,V
148,V,I
149,I,V
150,V,IV
151,IV,IV
152,IV,I
153,I,V
154,V,IV
155,IV,IV
156,IV,I
157,I,V
158,V,IV
159,IV,IV
160,IV,I
161,I,V
162,V,IV
163,IV,IV
164,IV,I
165,I,V
166,V,IV
167,IV,IV
168,IV,I
169,I,V
170,V,IV
171,IV,IV
172,IV,I
173,I,V
174,V,IV
0,I,iii
1,iii,vi
2,vi,IV
3,IV,I
4,I,iii
5,iii,vi
6,vi,vi
7,vi,IV
8,IV,IV
9,IV,I
10,I,iii
11,iii,vi
12,vi,vi
13,vi,IV
14,IV,IV
15,IV,I
16,I,iii
17,iii,vi
18,vi,I
19,I,iii
20,iii,vi
21,vi,IV
22,IV,I
23,I,iii
24,iii,vi
25,vi,IV
26,IV,I
27,I,iii
28,iii,vi
29,vi,IV
30,IV,IV
31,IV,I
32,I,iii
33,iii,vi
34,vi,IV
35,IV,IV
36,IV,I
37,I,iii
38,iii,vi
39,vi,I
40,I,iii
41,iii,vi
42,vi,IV
43,IV,I
44,I,iii
45,iii,vi
46,vi,IV
47,IV,IV
48,IV,I
49,I,I
50,I,iii
51,iii,vi
52,vi,vi
53,vi,IV
54,IV,I
55,I,iii
56,iii,vi
57,vi,IV
58,IV,I
59,I,I
60,I,iii
61,iii,vi
62,vi,IV
63,IV,I
64,I,iii
65,iii,vi
66,vi,IV
67,IV,IV
68,IV,I
69,I,iii
70,iii,vi
71,vi,iii
0,II,♯iv
1,♯iv,vi
2,vi,VII7
3,VII7,iii
4,iii,VI7
5,VI7,II
6,II,II
7,II,II7
8,II7,V
9,V,v
10,v,II
11,II,VI7
12,VI7,V
13,V,II
14,II,II
15,II,♯iv
16,♯iv,vi
17,vi,VII7
18,VII7,iii
19,iii,VI7
20,VI7,II
21,II,II
22,II,II7
23,II7,V
24,V,v
25,v,II
26,II,VI7
27,VI7,V
28,V,II
29,II,II
30,II,II7
31,II7,V
32,V,iii
33,iii,VI7
34,VI7,♯iv7
35,♯iv7,vii
36,vii,iii
37,iii,VI7
38,VI7,V
39,V,II
40,II,II
41,II,♯iv
42,♯iv,vi
43,vi,VII7
44,VII7,iii
45,iii,VI7
46,VI7,II
47,II,II
48,II,II7
49,II7,V
50,V,v
51,v,II
52,II,VI7
53,VI7,V
54,V,II
55,II,II
56,II,II7
57,II7,V
58,V,iii
59,iii,VI7
60,VI7,♯iv7
61,♯iv7,vii
62,vii,iii
63,iii,VI7
64,VI7,V
65,V,II
0,i,IIIM43
1,IIIM43,IIIM7
2,IIIM7,IIIM43
3,IIIM43,IIIM7
4,IIIM7,i
5,i,IIIM43
6,IIIM43,IIIM7
7,IIIM7,IIIM43
8,IIIM43,IIIM7
9,IIIM7,i
10,i,IIIM43
11,IIIM43,IIIM7
12,IIIM7,IIIM7
13,IIIM7,IIIM43
14,IIIM43,i
15,i,IIIM43
16,IIIM43,IIIM7
17,IIIM7,IIIM43
18,IIIM43,IIIM7
19,IIIM7,i
20,i,IIIM43
21,IIIM43,IIIM7
22,IIIM7,IIIM43
23,IIIM43,IIIM7
24,IIIM7,i
25,i,IIIM43
26,IIIM43,VIM7
27,VIM7,I
28,I,iv
29,iv,VII
30,VII,III
31,III,VI
32,VI,♭II
33,♭II,V
34,V,V
35,V,I
36,I,VII
37,VII,III
38,III,VII
39,VII,iv
40,iv,VII
41,VII,III
42,III,VI
43,VI,♭II
44,♭II,V
45,V,V
46,V,i
47,i,IIIM43
48,IIIM43,IIIM7
49,IIIM7,IIIM43
50,IIIM43,IIIM7
51,IIIM7,i
52,i,IIIM43
53,IIIM43,IIIM43
54,IIIM43,III
55,III,i
56,i,IIIM43
57,IIIM43,IIIM7
58,IIIM7,IIIM43
59,IIIM43,IIIM7
60,IIIM7,i
61,i,IIIM43
62,IIIM43,IIIM43
63,IIIM43,III
64,III,i
65,i,IIIM43
66,IIIM43,VIM7
67,VIM7,I
68,I,iv
69,iv,VII
70,VII,III
71,III,VI
72,VI,♭II
73,♭II,V
74,V,V
